iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Brevo","Send a transactional email","POST","https://api.brevo.com/v3/smtp/email","Created","201","771","64","Verify status code is 201, Verify the messageId is not empty, Verify the messageId is a string",,,"3","3","0","0"
"1","Brevo","Get the list of transactional emails on the basis of allowed filters","GET","https://api.brevo.com/v3/smtp/emails?email=olamide.oluwole0908@gmail.com&sort=desc&limit=500&offset=0","OK","200","755","27384","Verify status code is 200, Verify the messageId is not empty, Verify the uuid is not empty, Verify the response schema, Verify that the count value is a number, Verify that the transactionalEmails value is an array, Verify the Content Type",,,"7","7","0","0"
"1","Brevo","Get the personalized content of a sent transactional email","GET","https://api.brevo.com/v3/smtp/emails/43617b18-3625-43fd-9206-95d0e4349a74","OK","200","507","299","Verify status code is 200, Verify the sender's email is the same as the email returned, Verify response should have at least one event in the events array",,,"3","3","0","0"
"1","Brevo","Send a scheduled transactional email","POST","https://api.brevo.com/v3/smtp/email","Accepted","202","282","64","Verify status code is 202, Verify the messageId for a scheduled message is not empty, Verify the messageId is a string",,,"3","3","0","0"
"1","Brevo","Fetch scheduled emails by batchId or messageId","GET","https://api.brevo.com/v3/smtp/emailStatus/<202312011033.93680358448@smtp-relay.mailin.fr>?sort=desc&limit=500&offset=0","OK","200","410","111","Verify status code is 200, Verify response JSON keys includes scheduledAt, createdAt, and status, Response JSON values for scheduledAt, createdAt, and status should not be null or empty",,,"3","3","0","0"
"1","Brevo","Delete scheduled emails by batchId or messageId","DELETE","https://api.brevo.com/v3/smtp/email/<202312011033.93680358448@smtp-relay.mailin.fr>","No Content","204","1061","0","Verify date is present",,,"1","1","0","0"
"1","Brevo","Create an email template","POST","https://api.brevo.com/v3/smtp/templates","Created","201","485","9","Verify status code is 201, Verify response JSON ""id"" value should be a number, Response JSON should include an ""id"" field",,,"3","3","0","0"
"1","Brevo","Get the list of email templates","GET","https://api.brevo.com/v3/smtp/templates?limit=50&offset=0&sort=desc","OK","200","350","4750","Verify the response code is 200, Response JSON values for count should be a number, Response JSON values for templates should be an array, Verify the count is valid",,,"4","4","0","0"
"1","Brevo","Returns the template information","GET","https://api.brevo.com/v3/smtp/templates/54","OK","200","270","497","Verify the response code is 200, Response JSON values for id should be a number, Response JSON values should be an object, Validate sender's email is olamide.oluwole0908@gmail.com",,,"4","4","0","0"
"1","Brevo","Update an email template","PUT","https://api.brevo.com/v3/smtp/templates/54","No Content","204","445","0","Verify response time is less than 200ms, Verify status code name has string, Verify header has a date property",,,"3","3","0","0"
"1","Brevo","Delete an inactive email template","DELETE","https://api.brevo.com/v3/smtp/templates/54","No Content","204","306","0","Verify response code is 204, Response time should be less than 500ms",,,"2","2","0","0"
"1","Brevo","Send a template to your test list","POST","https://api.brevo.com/v3/smtp/templates/7/sendTest","Bad Request","400","218","156","Response time should be less than 800ms, Verify the Header","Verify response code is 204",,"3","2","1","0"
"1","Brevo","Get your transactional email activity aggregated over a period of time","GET","https://api.brevo.com/v3/smtp/statistics/aggregatedReport?days=7","OK","200","317","206","Validate status is 200, Validate response JSON keys include all required parameters, Verify response JSON values for requests, Verify response time is less than 1500ms, Verify Content-Type is present",,,"5","5","0","0"
"1","Brevo","Get your transactional email activity aggregated per day","GET","https://api.brevo.com/v3/smtp/statistics/reports?limit=10&offset=0&startDate=&endDate=&days=1&tag=&sort=desc","OK","200","247","402","Response status code is 200, Verify reports array is present and contains at least one element, Verify date field is in a valid date format for each report",,,"3","3","0","0"
"1","Brevo","Get all your transactional email activity (unaggregated events)","GET","https://api.brevo.com/v3/v3/smtp/statistics/events?days=11&messageId=<202312011032.12079773204@smtp-relay.mailin.fr>","Not Found","404","791","61",,"Response status code is 200, All event objects contain required properties, Validate response against saved 'messageId' value",,"3","0","3","0"
"1","Brevo","Get the list of blocked or unsubscribed transactional contacts","GET","https://api.brevo.com/v3/smtp/blockedContacts?limit=50&offset=0&sort=desc","OK","200","300","25","Verify schema is valid, Verify response time is within acceptable range, Verify response status code is 200, Verify count is a non-negative integer, BlockedAt is in a valid date-time format, Contacts array is present and has the expected number of elements",,,"6","6","0","0"
"1","Brevo","Unblock or resubscribe a transactional contact","DELETE","https://api.brevo.com/v3/smtp/blockedContacts/olamide.oluwole0908@gmail.com","Not Found","404","245","62","Status code is 404, Verify the response is an object with code and message properties, Verify response message is descriptive and informative, Verify code property is a non-empty string, Verify response time is within acceptable range",,,"5","5","0","0"
"1","Brevo","Get the list of blocked domains","GET","https://api.brevo.com/v3/smtp/blockedDomains","OK","200","269","138","Verify response status code is 200, Verify domains array is present and contains expected number of elements, Each domain in the 'domains' array is a non-empty string, Response contains the required fields, No duplicate domains in the response",,,"5","5","0","0"
"1","Brevo","Add a new domain to the list of blocked domains","POST","https://api.brevo.com/v3/smtp/blockedDomains","Created","201","336","2","Verify response status code is 201, Verify response body should be empty, Blocked_domain variable is set in collection variables, Response headers contain the necessary information, Response time is less than 500ms",,,"5","5","0","0"
"1","Brevo","Unblock an existing domain from the list of blocked domains","DELETE","https://api.brevo.com/v3/smtp/blockedDomains/open-source.com","No Content","204","235","0","Verify Date is present in the header, Response time is less than 400ms, Status code name has string",,,"3","3","0","0"
"1","Brevo","Delete hardbounces","POST","https://api.brevo.com/v3/smtp/deleteHardbounces","OK","200","215","2","Verify response status code is 200, Verify response is an object, Verify response does not have any properties",,,"3","3","0","0"
"1","Brevo","Send a scheduled transactional email","POST","https://api.brevo.com/v3/smtp/email","Accepted","202","330","64","Verify status code is 202, Verify the messageId for a scheduled message is not empty, Verify the messageId is a string",,,"3","3","0","0"
"1","Brevo","Delete an SMTP transactional log","DELETE","https://api.brevo.com/v3/smtp/log/<202312011034.74856101087@smtp-relay.mailin.fr>","Not Found","404","446","72",,,,"0","0","0","0"
"1","Brevo","Get the list of all the events for the received emails.","GET","https://api.brevo.com/v3/inbound/events?limit=100&offset=0&sort=desc","OK","200","344","13","Response status code is 200, Events array is present, Date field is in valid date format for each event",,,"3","3","0","0"
"1","Brevo","Fetch all events history for one particular received email.","GET","https://api.brevo.com/v3/inbound/events/43617b18-3625-43fd-9206-95d0e4349a74","Not Found","404","293","56","Status code is 404, Code and message fields are present in the response, Response has the correct content type",,,"3","3","0","0"
"1","Brevo","Retrieve inbound attachment with download token.","GET","https://api.brevo.com/v3/inbound/attachments/:downloadToken","Not Acceptable","406","332","14",,,,"0","0","0","0"
"1","Brevo","Send SMS message to a mobile number","POST","https://api.brevo.com/v3/transactionalSMS/sms","Bad Request","400","3153","173","Response status code is 400, Response has the required fields, Verify message is a non-empty string",,,"3","3","0","0"
"1","Brevo","Get your SMS activity aggregated over a period of time","GET","https://api.brevo.com/v3/transactionalSMS/statistics/aggregatedReport?days=20","OK","200","319","2","Response time is less than 600ms, Response status code is 200, Response has the correct content type",,,"3","3","0","0"
"1","Brevo","Get your SMS activity aggregated per day","GET","https://api.brevo.com/v3/transactionalSMS/statistics/reports?days=1&sort=desc","OK","200","231","2","Response time is less than 600ms, Response status code is 200",,,"2","2","0","0"
"1","Brevo","Get all your SMS activity (unaggregated events)","GET","https://api.brevo.com/v3/transactionalSMS/statistics/events?limit=50&offset=0&days=7&phoneNumber=+2347069423351&event=bounces&tags=&sort=desc","OK","200","311","2","Response time is less than 600ms, Response status code is 200, Response has the correct content type",,,"3","3","0","0"
"1","Brevo","Send a WhatsApp message","POST","https://api.brevo.com/v3/v3/whatsapp/sendMessage","Not Found","404","212","61",,,,"0","0","0","0"
"1","Brevo","Get all your WhatsApp activity (unaggregated events) Copy","GET","https://api.brevo.com/v3/v3/whatsapp/statistics/events?limit=1&offset=9&event=sent&startDate=&endDate=&sort=desc&contactNumber=918077039164&days=3","Not Found","404","249","61",,,,"0","0","0","0"
"1","Brevo","Create an email campaign","POST","https://api.brevo.com/v3/emailCampaigns","Too Many Requests","429","201","0",,,,"0","0","0","0"
"1","Brevo","Get an email campaign report","GET","https://api.brevo.com/v3/emailCampaigns/28","Too Many Requests","429","205","0",,"Response status code is 200, Validate the sender object - name, id, email, Recipients object contains lists and exclusionLists arrays, Ensure that statistics object contains globalStats and statsByDevice",,"4","0","4","0"
"1","Brevo","Update an email campaign","PUT","https://api.brevo.com/v3/emailCampaigns/28","Too Many Requests","429","188","0","Verify date is present in the header, Response time is less than 300ms","Status code is 204",,"3","2","1","0"
"1","Brevo","Delete an email campaign","DELETE","https://api.brevo.com/v3/emailCampaigns/28","Too Many Requests","429","215","0","Verify date is present in the header","Status code is 204, Response time is less than 300ms",,"3","1","2","0"
"1","Brevo","Create an email campaign Copy","POST","https://api.brevo.com/v3/emailCampaigns","Too Many Requests","429","247","0",,,,"0","0","0","0"
"1","Brevo","Send an email campaign immediately, based on campaignId","POST","https://api.brevo.com/v3/emailCampaigns/133/sendNow","Too Many Requests","429","339","0",,,,"0","0","0","0"
"1","Brevo","Send an email campaign to your test list","POST","https://api.brevo.com/v3/emailCampaigns/13396752/sendTest","Too Many Requests","429","393","0",,,,"0","0","0","0"
"1","Brevo","Update an email campaign status","PUT","https://api.brevo.com/v3/emailCampaigns/28/status","Too Many Requests","429","317","0",,,,"0","0","0","0"
"1","Brevo","Send the report of a campaign","POST","https://api.brevo.com/v3/emailCampaigns/28/sendReport","Too Many Requests","429","304","0",,"Response status code is 200, Response body is an empty object, Verify that the response does not contain any sensitive information, Request duration is within an acceptable range, No errors or warnings in the response",,"5","0","5","0"
"1","Brevo","Get an A/B test email campaign results","GET","https://api.brevo.com/v3/emailCampaigns/28/abTestCampaignResult","Too Many Requests","429","268","0","Response time is less than 500ms",,,"1","1","0","0"
"1","Brevo","Get a shared template url","GET","https://api.brevo.com/v3/emailCampaigns/28/sharedUrl","Too Many Requests","429","222","0",,"Response status code is 200, Response has the required field 'sharedUrl', Shared URL is in valid URL format, Shared URL should not be empty, Shared URL is a unique and valid URL, Schema is valid",,"6","0","6","0"
"1","Brevo","Export the recipients of an email campaign","POST","https://api.brevo.com/v3/emailCampaigns/28/exportRecipients","Too Many Requests","429","309","0","Response time is less than 900ms","Response status code is 200, Content-Type is present",,"3","1","2","0"
"1","Brevo","Return all your created email campaigns","GET","https://api.brevo.com/v3/emailCampaigns?type=&status=&startDate=&endDate=&limit=50&offset=0&sort=desc","Too Many Requests","429","251","0",,,,"0","0","0","0"
"1","Brevo","Upload an image to your account's image gallery","POST","https://api.brevo.com/v3/emailCampaigns/images","Too Many Requests","429","204","0",,,,"0","0","0","0"
"1","Brevo","Returns the information for all your created SMS campaigns","GET","https://api.brevo.com/v3/smsCampaigns?status=archive&startDate=&endDate=&limit=500&offset=0&sort=desc","OK","200","234","2",,,,"0","0","0","0"
"1","Brevo","Creates an SMS campaign","POST","https://api.brevo.com/v3/smsCampaigns","Bad Request","400","228","109",,,,"0","0","0","0"
"1","Brevo","Get an SMS campaign","GET","https://api.brevo.com/v3/smsCampaigns/133","Not Found","404","238","65",,,,"0","0","0","0"
"1","Brevo","Update an SMS campaign","PUT","https://api.brevo.com/v3/smsCampaigns/13396752","Not Found","404","265","63",,,,"0","0","0","0"
"1","Brevo","Delete an SMS campaign","DELETE","https://api.brevo.com/v3/smsCampaigns/133","Not Found","404","243","63",,,,"0","0","0","0"
"1","Brevo","Send your SMS campaign immediately","POST","https://api.brevo.com/v3/smsCampaigns/13396752/sendNow","Not Found","404","421","63",,,,"0","0","0","0"
"1","Brevo","Update a campaign's status","PUT","https://api.brevo.com/v3/smsCampaigns/13396752/status","Not Found","404","247","63",,,,"0","0","0","0"
"1","Brevo","Send a test SMS campaign","POST","https://api.brevo.com/v3/smsCampaigns/13396752/sendTest","Not Found","404","272","63",,,,"0","0","0","0"
"1","Brevo","Export an SMS campaign's recipients","POST","https://api.brevo.com/v3/smsCampaigns/13396752/exportRecipients","Not Found","404","251","68",,,,"0","0","0","0"
"1","Brevo","Send an SMS campaign's report","POST","https://api.brevo.com/v3/smsCampaigns/13396752/sendReport","Not Found","404","331","68",,,,"0","0","0","0"
"1","Brevo","Get a WhatsApp campaign","GET","https://api.brevo.com/v3/whatsappCampaigns/?campaignId=12","Not Found","404","362","19",,,,"0","0","0","0"
"1","Brevo","Delete a WhatsApp campaign","DELETE","https://api.brevo.com/v3/whatsappCampaigns/?campaignId=12","Not Found","404","627","19",,,,"0","0","0","0"
"1","Brevo","Return all your created WhatsApp campaigns","GET","https://api.brevo.com/v3/whatsappCampaigns?startDate=&endDate=&limit=&offset=&sort=","Bad Request","400","333","158",,,,"0","0","0","0"
"1","Brevo","Return all your created WhatsApp templates","GET","https://api.brevo.com/v3/whatsappCampaigns/template-list?startDate=&endDate=&limit=&offset=&sort=","Bad Request","400","288","158",,,,"0","0","0","0"
"1","Brevo","Update a WhatsApp campaign","PUT","https://api.brevo.com/v3/whatsappCampaigns/:campaignId","Bad Request","400","746","158",,,,"0","0","0","0"
"1","Brevo","Create and send a WhatsApp campaign","POST","https://api.brevo.com/v3/whatsappCampaigns","Bad Request","400","339","57",,,,"0","0","0","0"
"1","Brevo","Create a WhatsApp template","GET","https://api.brevo.com/v3/whatsappCampaigns/template","Bad Request","400","434","89",,,,"0","0","0","0"
"1","Brevo","Send your WhatsApp template for approval","POST","https://api.brevo.com/v3/whatsappCampaigns/template/approval/:templateId","Bad Request","400","432","121",,,,"0","0","0","0"
"1","Brevo","Get your WhatsApp API account information","GET","https://api.brevo.com/v3/whatsappCampaigns/config","Bad Request","400","316","158",,,,"0","0","0","0"
"1","Brevo","Get all the contacts","GET","https://api.brevo.com/v3/contacts?limit=50&offset=0&sort=desc","OK","200","386","3851","Response status code is 200, Contacts array is present and contains at least one element, Each contact has a valid email format, Count matches the number of elements in the contacts array, Response has a valid content type",,,"5","5","0","0"
"1","Brevo","Create a contact","POST","https://api.brevo.com/v3/contacts","Created","201","349","9","Verify response code is 201, Response is an object with id property, Id is a non-negative integer, No additional properties other than 'id' in the response, Id is unique for each request, Response body is not empty","Response time is less than 200ms",,"7","6","1","0"
"1","Brevo","Get email campaigns' statistics for a contact","GET","https://api.brevo.com/v3/contacts/ 29/campaignStats","OK","200","339","2","Response status code is 200","Response has the required fields, MessagesSent array is present and contains expected number of elements, EventTime in messagesSent is in valid date-time format",,"4","1","3","0"
"1","Brevo","Create Contact via DOI (Double-Opt-In) Flow","POST","https://api.brevo.com/v3/contacts/doubleOptinConfirmation","Bad Request","400","382","104",,,,"0","0","0","0"
"1","Brevo","Update multiple contacts","POST","https://api.brevo.com/v3/contacts/batch","Bad Request","400","640","69",,,,"0","0","0","0"
"1","Brevo","Export contacts","POST","https://api.brevo.com/v3/contacts/export","OK","200","398","2",,"Response status code is 202, ProcessId is present in the response, ProcessId is a non-negative integer, ProcessId should be a number, Response time is less than 300ms",,"5","0","5","0"
"1","Brevo","Get all folders","GET","https://api.brevo.com/v3/contacts/folders?limit=10&offset=0&sort=desc","OK","200","590","606","Status code is 200, Response includes folders array, Each folder has an id, name, totalBlacklisted, totalSubscribers, and uniqueSubscribers, Response includes count property, Response time is less than 1000ms",,,"5","5","0","0"
"1","Brevo","Import contacts","POST","https://api.brevo.com/v3/contacts/import","Not Found","404","412","65",,"Response status code is 202, ProcessId is present in the response, ProcessId is a non-negative integer, Verify processId remains the same for subsequent executions, Response time is within an acceptable range",,"5","0","5","0"
"1","Brevo","Get a contact's details","GET","https://api.brevo.com/v3/contacts/29","OK","200","329","225","Response status code is 200, Verify the id parsed is what's returned in the response, Response time is less than 500ms, Response has a valid content type, Verify email blacklisted is false, Verify createdAt is not empty, Verify modifiedAt is not empty",,,"7","7","0","0"
"1","Brevo","Update a contact","PUT","https://api.brevo.com/v3/contacts/29","No Content","204","395","0","Status code is 204, Verify Date is present in the response header, Response time is less than 500ms",,,"3","3","0","0"
"1","Brevo","Delete a contact","DELETE","https://api.brevo.com/v3/contacts/29","No Content","204","344","0","Status code is 204, Verify Date is present in the response header, Response time is less than 500ms",,,"3","3","0","0"
"1","Brevo","Get all folders","GET","https://api.brevo.com/v3/contacts/folders?limit=10&offset=0&sort=desc","OK","200","323","510","Status code is 200, Response includes folders array, Each folder has an id, name, totalBlacklisted, totalSubscribers, and uniqueSubscribers, Response includes count property, Response time is less than 1000ms, Id is unique for each response",,,"6","6","0","0"
"1","Brevo","Create a list","POST","https://api.brevo.com/v3/contacts/lists","Created","201","320","9","Status code is 201, Response has the required field 'id', Id is a non-negative integer, Response time is less than 500ms",,,"4","4","0","0"
"1","Brevo","Get all the lists","GET","https://api.brevo.com/v3/contacts/lists?limit=10&offset=0&sort=desc","OK","200","291","139","Status code is 200, Response includes lists array, Each List has an id, name, totalBlacklisted, totalSubscribers, and uniqueSubscribers, Response includes count property, Response time is less than 1000ms, Id is unique for each response",,,"6","6","0","0"
"1","Brevo","Get contacts in a list","GET","https://api.brevo.com/v3/contacts/lists/26/contacts?limit=50&offset=0&sort=desc","OK","200","235","25","Response status code is 200, Email format is valid for each contact","Contacts array is present and has the expected number of elements, Attributes presence in contacts, verify contact email is same as sender's email",,"5","2","3","0"
"1","Brevo","Get all the contacts","GET","https://api.brevo.com/v3/contacts?limit=50&offset=0&sort=desc","OK","200","253","3851","Response status code is 200, Contacts array is present and contains at least one element, Each contact has a valid email format, Count matches the number of elements in the contacts array, Response has a valid content type",,,"5","5","0","0"
"1","Brevo","Add existing contacts to a list","POST","https://api.brevo.com/v3/contacts/lists/26/contacts/add","Bad Request","400","255","86",,"Response status code is 201, Success array contains the expected email addresses, Response contains both 'success' and 'failure' arrays, Ensure that the email addresses in the response are in a valid format",,"4","0","4","0"
"1","Brevo","Delete a contact from a list","POST","https://api.brevo.com/v3/contacts/lists/26/contacts/remove","Bad Request","400","1810","96",,"Verify response code is 201, Success array contains the expected email addresses, Response contains both 'success' and 'failure' arrays, Ensure that the email addresses in the response are in a valid format",,"4","0","4","0"
